,ka
398,-0.24810058593749984
399,-0.24352294921874984
400,-0.23894531249999984
401,-0.23436767578124984
402,-0.22979003906249984
403,-0.22521240234374984
404,-0.22063476562499984
405,-0.21605712890624984
406,-0.21147949218749984
407,-0.20690185546874984
408,-0.20232421874999984
409,-0.19774658203124984
410,-0.19316894531249984
411,-0.18859130859374984
412,-0.18401367187499984
413,-0.17943603515624984
414,-0.17485839843749984
415,-0.17028076171874984
416,-0.16570312499999984
417,-0.16112548828124984
418,-0.15654785156249984
419,-0.15197021484374984
420,-0.14739257812499984
421,-0.14281494140624984
422,-0.13823730468749984
423,-0.13365966796874984
424,-0.12908203124999984
425,-0.12450439453124984
426,-0.11992675781249984
427,-0.11534912109374984
428,-0.11077148437499984
429,-0.10619384765624984
430,-0.10161621093749984
431,-0.09703857421874984
432,-0.09246093749999984
433,-0.08788330078124984
434,-0.08330566406249984
435,-0.07872802734374984
436,-0.07415039062499984
437,-0.06957275390624984
438,-0.06499511718749984
439,-0.06041748046874984
440,-0.05583984374999984
441,-0.05126220703124984
442,-0.04668457031249984
443,-0.04210693359374984
444,-0.03752929687499984
445,-0.03295166015624984
446,-0.02837402343749984
447,-0.02379638671874984
448,-0.01921874999999984
449,-0.01464111328124984
450,-0.01006347656249984
451,-0.00548583984374984
452,-0.0009082031249998401
453,0.00366943359375016
454,0.00824707031250016
455,0.01282470703125016
456,0.01740234375000016
457,0.02197998046875016
458,0.02655761718750016
459,0.03113525390625016
460,0.03571289062500016
461,0.04029052734375016
462,0.04486816406250016
463,0.04944580078125016
464,0.05402343750000016
465,0.05860107421875016
466,0.06317871093750016
467,0.06775634765625016
468,0.07233398437500016
469,0.07691162109375016
470,0.08148925781250016
471,0.08606689453125016
472,0.09064453125000016
473,0.09522216796875016
474,0.09979980468750016
475,0.10437744140625016
476,0.10895507812500016
477,0.11353271484375016
478,0.11811035156250016
479,0.12268798828125016
480,0.12726562500000016
481,0.13184326171875016
482,0.13642089843750016
483,0.14099853515625016
484,0.14557617187500016
485,0.15015380859375016
486,0.15473144531250016
487,0.15930908203125016
488,0.16388671875000016
489,0.16846435546875016
490,0.17304199218750016
491,0.17761962890625016
492,0.18219726562500016
493,0.18677490234375016
494,0.19135253906250016
495,0.19593017578125016
496,0.20050781250000016
497,0.20508544921875016
498,0.20966308593750016
499,0.21424072265625016
500,0.21881835937500016
501,0.22339599609375016
502,0.22797363281250016
503,0.23255126953125016
504,0.23712890625000016
505,0.24170654296875016
506,0.24628417968750016
507,0.25086181640625016
508,0.25543945312500016
509,0.26001708984375016
510,0.26459472656250016
511,0.26917236328125016
512,0.27375000000000016
513,0.27832763671875016
514,0.28290527343750016
515,0.28748291015625016
516,0.29206054687500016
517,0.29663818359375016
518,0.30121582031250016
519,0.30579345703125016
520,0.31037109375000016
521,0.31494873046875016
522,0.31952636718750016
523,0.32410400390625016
524,0.32868164062500016
525,0.33325927734375016
526,0.33783691406250016
527,0.34241455078125016
528,0.34699218750000016
529,0.35156982421875016
530,0.35614746093750016
531,0.36072509765625016
532,0.36530273437500016
533,0.36988037109375016
534,0.37445800781250016
535,0.37903564453125016
536,0.38361328125000016
537,0.38819091796875016
538,0.39276855468750016
539,0.39734619140625016
540,0.40192382812500016
541,0.40650146484375016
542,0.41107910156250016
543,0.41565673828125016
544,0.42023437500000016
545,0.42481201171875016
546,0.42938964843750016
547,0.43396728515625016
548,0.43854492187500016
549,0.44312255859375016
550,0.44770019531250016
551,0.45227783203125016
552,0.45685546875000016
553,0.46143310546875016
554,0.46601074218750016
555,0.47058837890625016
556,0.47516601562500016
557,0.47974365234375016
558,0.48432128906250016
559,0.48889892578125016
560,0.49347656250000016
561,0.49805419921875016
562,0.5026318359375002
563,0.5072094726562502
564,0.5117871093750002
565,0.5163647460937502
566,0.5209423828125002
567,0.5255200195312502
568,0.5300976562500002
569,0.5346752929687502
570,0.5392529296875002
571,0.5438305664062502
572,0.5484082031250002
573,0.5529858398437502
574,0.5575634765625002
575,0.5621411132812502
576,0.5667187500000002
577,0.5712963867187502
578,0.5758740234375002
579,0.5804516601562502
580,0.5850292968750002
581,0.5896069335937502
582,0.5941845703125002
583,0.5987622070312502
584,0.6033398437500002
585,0.6079174804687502
586,0.6124951171875002
587,0.6170727539062502
588,0.6216503906250002
589,0.6262280273437502
590,0.6308056640625002
591,0.6353833007812502
592,0.6399609375000002
593,0.6445385742187502
594,0.6491162109375002
595,0.6536938476562502
596,0.6582714843750002
597,0.6628491210937502
598,0.6674267578125002
599,0.6720043945312502
600,0.6765820312500002
601,0.6811596679687502
602,0.6857373046875002
603,0.6903149414062502
604,0.6948925781250002
605,0.6994702148437502
606,0.7040478515625002
607,0.7086254882812502
608,0.7132031250000002
609,0.7177807617187502
610,0.7223583984375002
611,0.7269360351562502
612,0.7315136718750002
613,0.7360913085937502
614,0.7406689453125002
615,0.7452465820312502
616,0.7498242187500002
617,0.7544018554687502
618,0.7589794921875002
619,0.7635571289062502
620,0.7681347656250002
621,0.7727124023437502
622,0.7772900390625002
623,0.7818676757812502
624,0.7864453125000002
625,0.7910229492187502
626,0.7956005859375002
627,0.8001782226562502
628,0.8047558593750002
629,0.8093334960937502
630,0.8139111328125002
631,0.8184887695312502
632,0.8230664062500002
633,0.8276440429687502
634,0.8322216796875002
635,0.8367993164062502
636,0.8413769531250002
637,0.8459545898437502
638,0.8505322265625002
639,0.8551098632812502
640,0.8596875000000002
641,0.8642651367187502
642,0.8688427734375002
643,0.8734204101562502
644,0.8779980468750002
645,0.8825756835937502
646,0.8871533203125002
647,0.8917309570312502
648,0.8963085937500002
649,0.9008862304687502
650,0.9054638671875002
651,0.9100415039062502
652,0.9146191406250002
653,0.9191967773437502
654,0.9237744140625002
655,0.9283520507812502
656,0.9329296875000002
657,0.9375073242187502
658,0.9420849609375002
659,0.9466625976562502
660,0.9512402343750002
661,0.9558178710937502
662,0.9603955078125002
663,0.9649731445312502
664,0.9695507812500002
665,0.9741284179687502
666,0.9787060546875002
667,0.9832836914062502
668,0.9878613281250002
669,0.9924389648437502
670,0.9970166015625002
671,1.0015942382812502
672,1.0061718750000002
673,1.0107495117187502
674,1.0153271484375002
675,1.0199047851562502
676,1.0244824218750002
677,1.0290600585937502
678,1.0336376953125002
679,1.0382153320312502
680,1.0427929687500002
681,1.0473706054687502
682,1.0519482421875002
683,1.0565258789062502
684,1.0611035156250002
685,1.0656811523437502
686,1.0702587890625002
687,1.0748364257812502
688,1.0794140625000002
689,1.0839916992187502
690,1.0885693359375002
691,1.0931469726562502
692,1.0977246093750002
693,1.1023022460937502
694,1.1068798828125002
695,1.1114575195312502
696,1.1160351562500002
697,1.1206127929687502
698,1.1251904296875002
699,1.1297680664062502
700,1.1343457031250002
701,1.1389233398437502
702,1.1435009765625002
703,1.1480786132812502
704,1.1526562500000002
705,1.1572338867187502
706,1.1618115234375002
707,1.1663891601562502
708,1.1709667968750002
709,1.1755444335937502
710,1.1801220703125002
711,1.1846997070312502
712,1.1892773437500002
713,1.1938549804687502
714,1.1984326171875002
715,1.2030102539062502
716,1.2075878906250002
717,1.2121655273437502
718,1.2167431640625002
719,1.2213208007812502
720,1.2258984375000002
721,1.2304760742187502
722,1.2350537109375002
723,1.2396313476562502
724,1.2442089843750002
725,1.2487866210937502
726,1.2533642578125002
727,1.2579418945312502
728,1.2625195312500002
729,1.2670971679687502
730,1.2716748046875002
731,1.2762524414062502
732,1.2808300781250002
733,1.2854077148437502
734,1.2899853515625002
735,1.2945629882812502
736,1.2991406250000002
737,1.3037182617187502
738,1.3082958984375002
739,1.3128735351562502
740,1.3174511718750002
741,1.3220288085937502
742,1.3266064453125002
743,1.3311840820312502
744,1.3357617187500002
745,1.3403393554687502
746,1.3449169921875002
747,1.3494946289062502
748,1.3540722656250002
749,1.3586499023437502
750,1.3632275390625002
751,1.3678051757812502
752,1.3723828125000002
753,1.3769604492187502
754,1.3815380859375002
755,1.3861157226562502
756,1.3906933593750002
757,1.3952709960937502
758,1.3998486328125002
759,1.4044262695312502
760,1.4090039062500002
761,1.4135815429687502
762,1.4181591796875002
763,1.4227368164062502
764,1.4273144531250002
765,1.4318920898437502
766,1.4364697265625002
767,1.4410473632812502
768,1.4456250000000002
769,1.4502026367187502
770,1.4547802734375002
771,1.4593579101562502
772,1.4639355468750002
773,1.4685131835937502
774,1.4730908203125002
775,1.4776684570312502
776,1.4822460937500002
777,1.4868237304687502
778,1.4914013671875002
779,1.4959790039062502
780,1.5005566406250002
781,1.5051342773437502
782,1.5097119140625002
783,1.5142895507812502
784,1.5188671875000002
785,1.5234448242187502
786,1.5280224609375002
787,1.5326000976562502
788,1.5371777343750002
789,1.5417553710937502
790,1.5463330078125002
791,1.5509106445312502
792,1.5554882812500002
793,1.5600659179687502
794,1.5646435546875002
795,1.5692211914062502
796,1.5737988281250002
797,1.5783764648437502
798,1.5829541015625002
799,1.5875317382812502
800,1.5921093750000002
801,1.5966870117187502
802,1.6012646484375002
803,1.6058422851562502
804,1.6104199218750002
805,1.6149975585937502
806,1.6195751953125002
807,1.6241528320312502
808,1.6287304687500002
809,1.6333081054687502
810,1.6378857421875002
811,1.6424633789062502
812,1.6470410156250002
813,1.6516186523437502
814,1.6561962890625002
815,1.6607739257812502
816,1.6653515625000002
817,1.6699291992187502
818,1.6745068359375002
819,1.6790844726562502
820,1.6836621093750002
821,1.6882397460937502
822,1.6928173828125002
823,1.6973950195312502
824,1.7019726562500002
825,1.7065502929687502
826,1.7111279296875002
827,1.7157055664062502
828,1.7202832031250002
829,1.7248608398437502
830,1.7294384765625002
831,1.7340161132812502
832,1.7385937500000002
833,1.7431713867187502
834,1.7477490234375002
835,1.7523266601562502
836,1.7569042968750002
837,1.7614819335937502
838,1.7660595703125002
839,1.7706372070312502
840,1.7752148437500002
841,1.7797924804687502
842,1.7843701171875002
843,1.7889477539062502
844,1.7935253906250002
845,1.7981030273437502
846,1.8026806640625002
847,1.8072583007812502
848,1.8118359375000002
849,1.8164135742187502
850,1.8209912109375002
851,1.8255688476562502
852,1.8301464843750002
853,1.8347241210937502
854,1.8393017578125002
855,1.8438793945312502
856,1.8484570312500002
857,1.8530346679687502
858,1.8576123046875002
859,1.8621899414062502
860,1.8667675781250002
861,1.8713452148437502
862,1.8759228515625002
863,1.8805004882812502
864,1.8850781250000002
865,1.8896557617187502
866,1.8942333984375002
867,1.8988110351562502
868,1.9033886718750002
869,1.9079663085937502
870,1.9125439453125002
871,1.9171215820312502
872,1.9216992187500002
873,1.9262768554687502
874,1.9308544921875002
875,1.9354321289062502
876,1.9400097656250002
877,1.9445874023437502
878,1.9491650390625002
879,1.9537426757812502
880,1.9583203125000002
881,1.9628979492187502
882,1.9674755859375002
883,1.9720532226562502
884,1.9766308593750002
885,1.9812084960937502
886,1.9857861328125002
887,1.9903637695312502
888,1.9949414062500002
889,1.9995190429687502
890,2.0040966796875
891,2.00867431640625
892,2.013251953125
893,2.01782958984375
894,2.0224072265625
895,2.02698486328125
896,2.0315625
897,2.03614013671875
898,2.0407177734375
899,2.04529541015625
900,2.049873046875
901,2.05445068359375
902,2.0590283203125
903,2.06360595703125
904,2.06818359375
905,2.07276123046875
906,2.0773388671875
907,2.08191650390625
908,2.086494140625
909,2.09107177734375
910,2.0956494140625
911,2.10022705078125
912,2.1048046875
913,2.10938232421875
914,2.1139599609375
915,2.11853759765625
916,2.123115234375
917,2.12769287109375
918,2.1322705078125
919,2.13684814453125
920,2.14142578125
921,2.14600341796875
922,2.1505810546875
923,2.15515869140625
924,2.159736328125
925,2.16431396484375
926,2.1688916015625
927,2.17346923828125
928,2.178046875
929,2.18262451171875
930,2.1872021484375
931,2.19177978515625
932,2.196357421875
933,2.20093505859375
934,2.2055126953125
935,2.21009033203125
936,2.21466796875
937,2.21924560546875
938,2.2238232421875
939,2.22840087890625
940,2.232978515625
941,2.23755615234375
942,2.2421337890625
943,2.24671142578125
944,2.2512890625
945,2.25586669921875
946,2.2604443359375
947,2.26502197265625
948,2.269599609375
949,2.27417724609375
950,2.2787548828125
951,2.28333251953125
952,2.28791015625
953,2.29248779296875
954,2.2970654296875
955,2.30164306640625
956,2.306220703125
957,2.31079833984375
958,2.3153759765625
959,2.31995361328125
960,2.32453125
961,2.32910888671875
962,2.3336865234375
963,2.33826416015625
964,2.342841796875
965,2.34741943359375
966,2.3519970703125
967,2.35657470703125
968,2.36115234375
969,2.36572998046875
970,2.3703076171875
971,2.37488525390625
972,2.379462890625
973,2.38404052734375
974,2.3886181640625
975,2.39319580078125
976,2.3977734375
977,2.40235107421875
978,2.4069287109375
979,2.41150634765625
980,2.416083984375
981,2.42066162109375
982,2.4252392578125
983,2.42981689453125
984,2.43439453125
985,2.43897216796875
986,2.4435498046875
987,2.44812744140625
988,2.452705078125
989,2.45728271484375
990,2.4618603515625
991,2.46643798828125
992,2.471015625
993,2.47559326171875
994,2.4801708984375
995,2.48474853515625
996,2.489326171875
997,2.49390380859375
998,2.4984814453125
999,2.50305908203125
1000,2.50763671875
1001,2.51221435546875
1002,2.5167919921875
1003,2.52136962890625
1004,2.525947265625
1005,2.53052490234375
1006,2.5351025390625
1007,2.53968017578125
1008,2.5442578125
1009,2.54883544921875
1010,2.5534130859375
1011,2.55799072265625
1012,2.562568359375
1013,2.56714599609375
1014,2.5717236328125
1015,2.57630126953125
1016,2.58087890625
1017,2.58545654296875
1018,2.5900341796875
1019,2.59461181640625
1020,2.599189453125
1021,2.60376708984375
1022,2.6083447265625
1023,2.61292236328125
1024,2.6175
1025,2.62207763671875
1026,2.6266552734375
1027,2.63123291015625
1028,2.635810546875
1029,2.64038818359375
1030,2.6449658203125
1031,2.64954345703125
1032,2.65412109375
1033,2.65869873046875
1034,2.6632763671875
1035,2.66785400390625
1036,2.672431640625
1037,2.67700927734375
1038,2.6815869140625
1039,2.68616455078125
1040,2.6907421875
1041,2.69531982421875
1042,2.6998974609375
1043,2.70447509765625
1044,2.709052734375
1045,2.71363037109375
1046,2.7182080078125
1047,2.72278564453125
1048,2.72736328125
1049,2.73194091796875
1050,2.7365185546875
1051,2.74109619140625
1052,2.745673828125
1053,2.75025146484375
1054,2.7548291015625
1055,2.75940673828125
1056,2.763984375
1057,2.76856201171875
1058,2.7731396484375
1059,2.77771728515625
1060,2.782294921875
1061,2.78687255859375
1062,2.7914501953125
1063,2.79602783203125
1064,2.80060546875
1065,2.80518310546875
1066,2.8097607421875
1067,2.81433837890625
1068,2.818916015625
1069,2.82349365234375
1070,2.8280712890625
1071,2.83264892578125
1072,2.8372265625
1073,2.84180419921875
1074,2.8463818359375
1075,2.85095947265625
1076,2.855537109375
1077,2.86011474609375
1078,2.8646923828125
1079,2.86927001953125
1080,2.87384765625
1081,2.87842529296875
1082,2.8830029296875
1083,2.88758056640625
1084,2.892158203125
1085,2.89673583984375
1086,2.9013134765625
1087,2.90589111328125
1088,2.91046875
1089,2.91504638671875
1090,2.9196240234375
1091,2.92420166015625
1092,2.928779296875
1093,2.93335693359375
1094,2.9379345703125
1095,2.94251220703125
1096,2.94708984375
1097,2.95166748046875
1098,2.9562451171875
1099,2.96082275390625
1100,2.965400390625
1101,2.96997802734375
1102,2.9745556640625
1103,2.97913330078125
1104,2.9837109375
1105,2.98828857421875
1106,2.9928662109375
1107,2.99744384765625
1108,3.002021484375
1109,3.00659912109375
1110,3.0111767578125
1111,3.01575439453125
1112,3.02033203125
1113,3.02490966796875
1114,3.0294873046875
1115,3.03406494140625
1116,3.038642578125
1117,3.04322021484375
1118,3.0477978515625
1119,3.05237548828125
1120,3.056953125
1121,3.06153076171875
1122,3.0661083984375
1123,3.07068603515625
1124,3.075263671875
1125,3.07984130859375
1126,3.0844189453125
1127,3.08899658203125
1128,3.09357421875
1129,3.09815185546875
1130,3.1027294921875
1131,3.10730712890625
1132,3.111884765625
1133,3.11646240234375
1134,3.1210400390625
1135,3.12561767578125
1136,3.1301953125
1137,3.13477294921875
1138,3.1393505859375
1139,3.14392822265625
1140,3.148505859375
1141,3.15308349609375
1142,3.1576611328125
1143,3.16223876953125
1144,3.16681640625
1145,3.17139404296875
1146,3.1759716796875
1147,3.18054931640625
1148,3.185126953125
1149,3.18970458984375
1150,3.1942822265625
1151,3.19885986328125
1152,3.2034375
1153,3.20801513671875
1154,3.2125927734375
1155,3.21717041015625
1156,3.221748046875
1157,3.22632568359375
1158,3.2309033203125
1159,3.23548095703125
1160,3.24005859375
1161,3.24463623046875
1162,3.2492138671875
1163,3.25379150390625
1164,3.258369140625
1165,3.26294677734375
1166,3.2675244140625
1167,3.27210205078125
1168,3.2766796875
1169,3.28125732421875
1170,3.2858349609375
1171,3.29041259765625
1172,3.294990234375
1173,3.29956787109375
1174,3.3041455078125
1175,3.30872314453125
1176,3.31330078125
1177,3.31787841796875
1178,3.3224560546875
1179,3.32703369140625
1180,3.331611328125
1181,3.33618896484375
1182,3.3407666015625
1183,3.34534423828125
1184,3.349921875
1185,3.35449951171875
1186,3.3590771484375
1187,3.36365478515625
1188,3.368232421875
1189,3.37281005859375
1190,3.3773876953125
1191,3.38196533203125
1192,3.38654296875
1193,3.39112060546875
1194,3.3956982421875
1195,3.40027587890625
1196,3.404853515625
1197,3.40943115234375
1198,3.4140087890625
1199,3.41858642578125
1200,3.4231640625
1201,3.42774169921875
1202,3.4323193359375
1203,3.43689697265625
1204,3.441474609375
1205,3.44605224609375
1206,3.4506298828125
1207,3.45520751953125
1208,3.45978515625
1209,3.46436279296875
1210,3.4689404296875
1211,3.47351806640625
1212,3.478095703125
1213,3.48267333984375
1214,3.4872509765625
1215,3.49182861328125
1216,3.49640625
1217,3.50098388671875
1218,3.5055615234375
1219,3.51013916015625
1220,3.514716796875
1221,3.51929443359375
1222,3.5238720703125
1223,3.52844970703125
1224,3.53302734375
1225,3.53760498046875
1226,3.5421826171875
1227,3.54676025390625
1228,3.551337890625
1229,3.55591552734375
1230,3.5604931640625
1231,3.56507080078125
1232,3.5696484375
1233,3.57422607421875
1234,3.5788037109375
1235,3.58338134765625
1236,3.587958984375
1237,3.59253662109375
1238,3.5971142578125
1239,3.60169189453125
1240,3.60626953125
1241,3.61084716796875
1242,3.6154248046875
1243,3.62000244140625
1244,3.624580078125
1245,3.62915771484375
1246,3.6337353515625
1247,3.63831298828125
1248,3.642890625
1249,3.64746826171875
1250,3.6520458984375
