,hh,vv,hv,vh
0,0.0415388707413267,0.04155016677298114,0.04158990097026603,0.04155337027426867
1,0.036494382683979774,0.036508273719293036,0.036539636345231684,0.03651101115915864
2,0.024543890967383013,0.024561498500195122,0.024575345476131123,0.024563466908967265
3,0.012316193143382967,0.012332079771979318,0.012333173082070954,0.012333910901948682
4,0.004424635724193883,0.00443311848940674,0.0044316474660032485,0.004435301621440577
5,0.0011078254935259668,0.0011091265590338442,0.0011099243884906656,0.0011112042381208546
6,0.0002081506826881309,0.0002068396028569452,0.0002084408067215859,0.000208024247832811
7,1.5196524788258978e-05,1.4607408402009892e-05,1.5131801518475073e-05,1.484113469555772e-05
8,3.412319334768444e-05,3.441019973356288e-05,3.4420894540401645e-05,3.441088160474503e-05
9,0.00019447904598610992,0.00019500855529011593,0.00019534468988609732,0.00019541147082531617
10,0.0003177953842454427,0.0003189299254424296,0.00031892609135467234,0.0003197180390792858
11,0.0002739181954870044,0.0002760806324910282,0.0002748256225910349,0.0002768263982505452
12,0.00013627819093505676,0.00013882938559765405,0.00013668859301285385,0.00013921356584392546
13,3.551849690792548e-05,3.739205734550688e-05,3.548378267185392e-05,3.7404468445358245e-05
14,8.11367734757055e-06,8.970426854066288e-06,7.86722635716801e-06,8.783654836158534e-06
15,2.106138959911111e-05,2.133158595210387e-05,2.0835633401800112e-05,2.11337566779033e-05
16,4.38890649965074e-05,4.402976950264335e-05,4.381569425086927e-05,4.3954152777308856e-05
17,6.092744781287349e-05,6.1026088111667696e-05,6.1027742627610716e-05,6.113104492282977e-05
18,6.150858819621901e-05,6.146106029324231e-05,6.172577129494338e-05,6.171096057064178e-05
19,4.548681785654748e-05,4.526438730720126e-05,4.571702948317563e-05,4.553867781690108e-05
20,2.4756684245280202e-05,2.447051036856572e-05,2.4887319531940506e-05,2.4634412302833112e-05
21,1.0665299033624082e-05,1.0483647465092755e-05,1.0636012022335165e-05,1.0479727201839662e-05
22,5.122572151758388e-06,5.155717696814246e-06,4.9658330113350316e-06,5.033344760775409e-06
23,4.147363429183946e-06,4.380758794444179e-06,3.9586915566125016e-06,4.240954712557585e-06
24,4.4885667145885175e-06,4.817843818590688e-06,4.354219254593598e-06,4.7371663545534715e-06
25,5.622532499845548e-06,5.97152158190363e-06,5.577191162882661e-06,5.972109010888186e-06
26,8.532457110016646e-06,8.95602708618819e-06,8.571363612986471e-06,9.023353396120178e-06
27,1.4358128772524328e-05,1.5007237626330771e-05,1.4462509859695535e-05,1.5112711795171389e-05
28,2.284392716846313e-05,2.3753316792918762e-05,2.297540433078941e-05,2.3855081903446706e-05
29,2.983790878546659e-05,3.072973848417288e-05,2.9921552765548222e-05,3.077287988433674e-05
30,2.7588895006063633e-05,2.803859289878973e-05,2.75612603366587e-05,2.79987795585091e-05
31,1.5685927930429618e-05,1.5646731059313047e-05,1.5617332324134157e-05,1.5610004313920014e-05
32,2.1681698717746494e-05,2.1701355145451426e-05,2.1811127570848286e-05,2.188014244212001e-05
33,0.00010805951338214732,0.00010855450617500103,0.00010856643130674358,0.00010914155650388157
34,0.0003354911384124713,0.0003355960902446136,0.00033613574938520726,0.0003365234448917848
35,0.0006919774168453819,0.0006894608575678155,0.0006920410195158573,0.0006902992222061288
36,0.0010550788198049118,0.001048015594022732,0.0010538351712282477,0.0010481831557241478
37,0.0012497490000096066,0.0012386202505862568,0.0012471053133780426,0.0012377832554347871
38,0.001172813808535613,0.0011608728176715345,0.0011694896095183521,0.0011592091037171232
39,0.0008725394884557473,0.0008638204826460049,0.0008695856986586226,0.0008619165951520954
40,0.0005063581814322861,0.0005029835204167221,0.0005044661014012507,0.0005014509983275143
41,0.00022113160035706282,0.00022218695568966958,0.00022032051956604584,0.0002213102961055019
42,6.861377388983123e-05,7.136322010469914e-05,6.844995853226466e-05,7.103572197726213e-05
43,1.4804502849014234e-05,1.700292637196322e-05,1.4835615886579296e-05,1.6941457174359506e-05
44,3.932675093596142e-06,5.224676505945748e-06,3.950823782551322e-06,5.2295939581163546e-06
45,4.979445725190558e-06,6.377452977965369e-06,4.98948095653983e-06,6.415949566794406e-06
46,1.2491031886123263e-05,1.4759880129841073e-05,1.2534641158470688e-05,1.4863742974112514e-05
47,2.526282667443486e-05,2.7967111621964674e-05,2.53103555582563e-05,2.8114711665014058e-05
48,3.532415266215506e-05,3.734949339707267e-05,3.530669578341045e-05,3.7466740694445736e-05
49,3.465406238831997e-05,3.528645330458355e-05,3.454554884689858e-05,3.5329833567108364e-05
50,2.4684631501934986e-05,2.3920437966708413e-05,2.4521880497048866e-05,2.3919649679790196e-05
51,1.4686924862971355e-05,1.2732935652022177e-05,1.4522581051641154e-05,1.2750572354623745e-05
52,1.1652606772549546e-05,8.641079491662143e-06,1.1515658118624868e-05,8.714416252196079e-06
53,1.4360172152684848e-05,1.0693306961426015e-05,1.4262572212456524e-05,1.0821148093984037e-05
54,1.728522572023012e-05,1.3854476468791205e-05,1.7240699841533165e-05,1.4017498685334367e-05
55,1.740856205454737e-05,1.5071912183470049e-05,1.7427203510900495e-05,1.5244787742569575e-05
56,1.5560377163725927e-05,1.4435184415301e-05,1.5631742062320815e-05,1.4584194351409965e-05
57,1.3093690378556482e-05,1.2584218278641735e-05,1.3187250642595342e-05,1.267311932901457e-05
58,1.000704184458062e-05,9.520801414278439e-06,1.0089482528240855e-05,9.531585303337338e-06
59,6.281151285712142e-06,5.751400452005002e-06,6.330724453801802e-06,5.7004415205150345e-06
60,3.0171853130269433e-06,2.7323899079703866e-06,3.0278018572367024e-06,2.6641072230521087e-06
61,1.3983537490527908e-06,1.5268800779730056e-06,1.3786264833253524e-06,1.4885161199758048e-06
62,1.3858711209114555e-06,1.786826950508729e-06,1.3539615639852671e-06,1.8030514717116167e-06
63,2.016875157723499e-06,2.4239996437441854e-06,1.9898898262109937e-06,2.488398023372733e-06
64,2.506491817494161e-06,2.767542004409058e-06,2.4916725533366406e-06,2.8541518792540254e-06
65,2.673891178619224e-06,2.8082694327363083e-06,2.6696735786058603e-06,2.890881743157556e-06
66,2.6328882275901537e-06,2.7397246402633313e-06,2.6354530965237663e-06,2.8031271497218296e-06
67,2.435944571571134e-06,2.5950457268306803e-06,2.441697968469069e-06,2.634423079390674e-06
68,1.9635821360426957e-06,2.1977921877155655e-06,1.9685673046096673e-06,2.2151194598414363e-06
69,1.1129857939249716e-06,1.3798085562453495e-06,1.1161120032885867e-06,1.3836997303511096e-06
70,2.836695877602523e-07,4.55037542651578e-07,2.9003005295519634e-07,4.5953221465560993e-07
71,6.697461115041409e-07,5.318161774700987e-07,6.838033834596272e-07,5.481309078777437e-07
72,3.621510145613988e-06,2.963158215407887e-06,3.6344188013453538e-06,2.988679781036279e-06
73,9.217163106372904e-06,7.989815869432061e-06,9.206995236936086e-06,8.005415553200154e-06
74,1.5391864493848637e-05,1.3801802315370923e-05,1.534276454934793e-05,1.3782796530734087e-05
75,1.8876566898734102e-05,1.7292436877951086e-05,1.879699470429179e-05,1.722700347606121e-05
76,1.754753284439187e-05,1.6285908503930056e-05,1.7466028399500662e-05,1.61876800855812e-05
77,1.2178114965693474e-05,1.135796651475817e-05,1.2120912841064357e-05,1.1261274020477757e-05
78,5.859206118634585e-06,5.426530830689423e-06,5.832949224685132e-06,5.3642694654357384e-06
