,hh,vv,hv,vh
0,0.020810998713788338,0.023745659887036724,0.023542646466094018,0.023587732496581852
1,0.013950780986672637,0.0208631193600862,0.020685829581268855,0.02072602594516584
2,0.006845437088430635,0.013985823946452525,0.013869079038610694,0.013897265556985103
3,0.002224929121158758,0.006862618616282507,0.006806866282842547,0.00682184002229458
4,0.00037040116625253807,0.0022304833152724892,0.0022128917983314602,0.0022184045821257723
5,3.8076702952314135e-05,0.00037155615207802703,0.00036912986323723755,0.00037027474920340323
6,7.416255322923594e-05,3.883517503185574e-05,4.039659127399213e-05,4.059492270836666e-05
7,6.574117476918073e-05,7.52084171977333e-05,7.810076967805488e-05,7.846072364871073e-05
8,3.0204208886794717e-05,6.65478124536479e-05,6.97674589343591e-05,7.014880593807294e-05
9,1.3365656571322115e-05,3.056077217971232e-05,3.282029155851273e-05,3.2984118772786475e-05
10,6.032742515202137e-06,1.3483957364112277e-05,1.4391917580179347e-05,1.4375157939153357e-05
11,7.109238607907566e-07,6.0976277320477185e-06,6.2721645317391295e-06,6.214620827587627e-06
12,1.645545990685412e-06,7.287839802440821e-07,7.523109692502392e-07,7.231722097513129e-07
13,6.834916376328416e-06,1.6050297140827813e-06,1.600488646272712e-06,1.6153023515121904e-06
14,1.0073086755037937e-05,6.806326118902591e-06,6.765930085064555e-06,6.847543808520732e-06
15,9.578180237543139e-06,1.0131018315365663e-05,1.0107934691922651e-05,1.0271804496405236e-05
16,7.147836788661793e-06,9.716252372180362e-06,9.742561751426506e-06,9.957284507766248e-06
17,4.830061630833841e-06,7.296832992023933e-06,7.391193794972145e-06,7.5912786381488435e-06
18,3.973680626455008e-06,4.919742524059738e-06,5.157685809243538e-06,5.293023493437167e-06
19,4.5648926715365694e-06,3.9684398543646036e-06,4.402093848133617e-06,4.467155205525496e-06
20,5.286347414169539e-06,4.477593302872411e-06,5.006777223049975e-06,5.031863224243535e-06
21,4.9835936957576055e-06,5.175657957768462e-06,5.591274975880119e-06,5.615573002772938e-06
22,3.6512778408573254e-06,4.9166288197831846e-06,5.079808583599825e-06,5.127104825036459e-06
23,2.087386560548253e-06,3.651470368205505e-06,3.6032374514814765e-06,3.6712043776689436e-06
